Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
391,D'Angelo Russell,PG,26,MIN,27,27,31.7,6.1,13.3,0.461,2.3,6.4,0.355,3.9,7,0.559,0.546,2.1,2.6,0.789,0.6,2.6,3.1,6.3,1.3,0.6,2.8,2.1,16.6
392,Matt Ryan,SF,25,TOT,14,0,9.7,1.1,3.6,0.314,1,2.6,0.378,0.1,1,0.143,0.451,0.3,0.4,0.8,0.1,0.9,1,0.3,0.2,0,0.2,1,3.6
392,Matt Ryan,SF,25,LAL,12,0,10.8,1.3,4.1,0.306,1.1,2.9,0.371,0.2,1.2,0.143,0.439,0.3,0.4,0.8,0.2,1,1.2,0.3,0.2,0,0.3,1.2,3.9
392,Matt Ryan,SF,25,MIN,2,0,3.5,0.5,1,0.5,0.5,1,0.5,0,0,,0.75,0,0,,0,0,0,0,0.5,0,0,0,1.5
393,Domantas Sabonis,PF,26,SAC,27,27,32.9,6.4,10.3,0.619,0.4,1.1,0.379,6,9.2,0.647,0.638,4.3,5.9,0.736,2.6,9,11.6,6.4,0.8,0.5,2.5,3.7,17.5
394,Dario Šarić,PF,28,PHO,14,3,12,1.4,3.9,0.345,0.6,1.8,0.32,0.8,2.1,0.367,0.418,0.5,0.6,0.778,1.1,2.3,3.4,1.1,0.2,0.1,0.6,1.6,3.8
395,Jordan Schakel,SF,24,WAS,2,0,3,0.5,1,0.5,0.5,0.5,1,0,0.5,0,0.75,0,0,,0,0,0,0.5,0.5,0,0,0.5,1.5
396,Admiral Schofield,PF,25,ORL,18,0,12.3,1.5,3.4,0.443,0.7,2,0.333,0.8,1.4,0.6,0.541,0.4,0.4,1,0.8,0.8,1.6,0.7,0.2,0.1,0.2,2,4.1
397,Dennis Schröder,PG,29,LAL,13,10,25.8,2.8,6.8,0.404,0.6,2.4,0.258,2.2,4.5,0.483,0.449,2.2,2.3,0.933,0.1,1.8,1.8,3.5,0.5,0,1.3,1.5,8.3
398,Dereon Seabron,SG,22,NOP,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
399,Alperen Şengün,C,20,HOU,24,21,26.9,5.7,10.5,0.538,0.2,0.9,0.19,5.5,9.7,0.569,0.545,2.9,3.7,0.795,3.6,5.4,9,2.2,0.7,0.9,2.3,3.3,14.4
