Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
246,Braxton Key,SF,25,DET,3,0,3,0.3,0.3,1,0,0,,0.3,0.3,1,1,0.7,0.7,1,0,0.3,0.3,0,0,0,0,0,1.3
247,Corey Kispert,SF,23,WAS,34,22,28,3.4,7.1,0.475,1.8,4.4,0.413,1.5,2.6,0.578,0.604,1.1,1.3,0.818,0.5,2.3,2.8,1.4,0.6,0.1,0.8,1.4,9.6
248,Maxi Kleber,C,31,DAL,22,0,25.6,2.3,4.7,0.49,1.1,3,0.369,1.2,1.8,0.692,0.606,0.5,0.6,0.786,0.9,2.7,3.5,1,0.3,1,0.6,2.2,6.2
249,Nathan Knight,PF,25,MIN,20,0,5.8,0.9,1.4,0.643,0.1,0.3,0.4,0.8,1.2,0.696,0.679,0.9,1.3,0.68,0.5,0.8,1.3,0.3,0.2,0.1,0.6,0.8,2.8
250,Kevin Knox,SF,23,DET,35,1,14.4,2,4.5,0.446,1,2.9,0.353,1,1.6,0.618,0.561,0.7,0.8,0.793,0.4,2,2.4,0.4,0.3,0.3,0.7,1.7,5.7
251,Christian Koloko,C,22,TOR,38,19,16.1,1.5,3,0.496,0,0.2,0.125,1.5,2.8,0.523,0.5,0.9,1.3,0.667,1.7,1.7,3.5,0.5,0.3,1.2,0.5,2.7,3.9
252,John Konchar,SG,26,MEM,39,22,24.6,2.6,5.7,0.451,1.2,3.2,0.373,1.4,2.5,0.551,0.556,0.5,0.6,0.87,0.9,4.2,5.2,1.5,1.1,0.3,0.6,1.5,6.9
253,Furkan Korkmaz,SG,25,PHI,22,0,11.3,1.3,3.4,0.392,0.5,1.6,0.343,0.8,1.8,0.436,0.473,0.9,1.3,0.655,0.2,1,1.3,0.8,0.3,0.1,0.7,0.5,4
254,Luke Kornet,C,27,BOS,35,0,11.7,1.6,2.4,0.663,0.1,0.2,0.333,1.5,2.2,0.688,0.675,0.4,0.5,0.833,1.3,1.9,3.1,0.7,0.2,0.8,0.4,1.3,3.6
255,Vit Krejci,PG,22,ATL,17,0,6.3,0.6,1.5,0.385,0.3,1,0.294,0.3,0.5,0.556,0.481,0.1,0.1,0.5,0.1,0.5,0.6,0.6,0.1,0.1,0.2,0.6,1.5
256,Jonathan Kuminga,PF,20,GSW,33,4,18.6,2.8,6,0.472,0.5,1.9,0.258,2.4,4.2,0.569,0.513,1.4,2,0.672,1,2.2,3.2,1.7,0.5,0.5,1.5,2.3,7.5
257,Kyle Kuzma,PF,27,WAS,41,41,35,8.2,17.7,0.461,2.4,7.2,0.337,5.8,10.6,0.545,0.529,2.5,3.6,0.712,0.9,6.5,7.4,3.8,0.5,0.4,3,2.5,21.3
