,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All-Star Probability,Conference
269,270,Kevon Looney,Frontcourt,26,GSW,29,29,22.9,2.7,4.1,0.65,0.0,0.0,,2.7,4.1,0.65,0.65,0.9,1.5,0.605,2.4,5.2,7.6,2.7,0.4,0.6,0.4,2.8,6.3,4.2415915e-05,West
484,483,Delon Wright,Guard,30,WAS,4,0,22.8,2.5,6.0,0.417,0.8,3.0,0.25,1.8,3.0,0.583,0.479,0.8,1.3,0.6,1.0,1.5,2.5,3.3,2.8,1.0,1.0,1.3,6.5,4.1456788e-05,East
55,56,Mikal Bridges,Frontcourt,26,PHO,28,28,36.5,6.0,12.7,0.469,1.9,4.5,0.409,4.1,8.2,0.502,0.542,2.1,2.3,0.906,1.2,3.8,5.0,3.2,1.2,0.8,1.1,2.3,15.9,4.1010957e-05,West
390,391,D'Angelo Russell,Guard,26,MIN,27,27,31.7,6.1,13.3,0.461,2.3,6.4,0.355,3.9,7.0,0.559,0.546,2.1,2.6,0.789,0.6,2.6,3.1,6.3,1.3,0.6,2.8,2.1,16.6,3.920188e-05,West
421,420,Jalen Suggs,Guard,21,ORL,14,13,28.9,4.6,11.1,0.419,1.4,4.9,0.294,3.2,6.2,0.517,0.484,1.6,2.5,0.657,1.1,2.2,3.3,5.4,1.6,0.6,3.4,3.1,12.4,3.677631e-05,East
29,30,Will Barton,Guard,32,WAS,27,0,22.9,3.0,8.1,0.376,1.3,3.8,0.35,1.7,4.3,0.4,0.459,1.0,1.2,0.818,0.3,2.9,3.2,2.9,0.6,0.3,1.1,1.3,8.4,3.5333163e-05,East
414,413,Jabari Smith Jr.,Frontcourt,19,HOU,26,26,30.5,4.0,10.5,0.382,2.2,5.8,0.368,1.8,4.6,0.4,0.485,2.0,2.3,0.836,1.2,5.9,7.1,0.7,0.4,1.0,1.2,3.4,12.1,3.5008194e-05,West
282,283,Caleb Martin,Frontcourt,27,MIA,28,28,33.0,4.2,9.1,0.465,1.6,3.9,0.407,2.6,5.2,0.507,0.551,1.0,1.3,0.784,1.6,3.2,4.8,2.0,1.2,0.4,1.2,2.0,11.0,3.308001e-05,East
191,192,Tyler Herro,Guard,23,MIA,21,21,34.5,7.3,16.2,0.45,3.0,7.8,0.393,4.2,8.4,0.503,0.544,2.6,3.0,0.887,0.6,5.7,6.3,4.2,0.8,0.5,2.5,1.7,20.2,3.22319e-05,East
53,54,Malaki Branham,Frontcourt,19,SAS,14,4,16.8,1.8,5.6,0.321,0.7,3.1,0.227,1.1,2.4,0.441,0.385,0.6,0.7,0.8,0.2,1.4,1.6,1.6,0.1,0.1,0.8,1.1,4.9,3.1697306e-05,West
419,418,Isaiah Stewart,Frontcourt,21,DET,23,23,28.1,4.0,8.5,0.474,1.6,4.2,0.375,2.5,4.3,0.57,0.566,2.4,3.3,0.733,2.4,6.2,8.7,1.2,0.3,0.8,1.2,2.9,12.0,3.057845e-05,East
89,90,John Collins,Frontcourt,25,ATL,22,22,31.5,4.7,9.7,0.484,0.7,3.3,0.219,4.0,6.4,0.621,0.521,2.2,2.6,0.845,1.2,6.3,7.5,1.3,0.9,1.4,1.4,3.2,12.3,2.9842162e-05,East
315,316,Marcus Morris,Frontcourt,33,LAC,27,27,30.1,5.2,11.7,0.448,2.0,5.4,0.377,3.2,6.3,0.509,0.535,1.1,1.4,0.795,0.5,4.4,4.9,1.7,0.7,0.3,0.8,2.2,13.6,2.9462002e-05,West
398,397,Dennis Schröder,Guard,29,LAL,13,10,25.8,2.8,6.8,0.404,0.6,2.4,0.258,2.2,4.5,0.483,0.449,2.2,2.3,0.933,0.1,1.8,1.8,3.5,0.5,0.0,1.3,1.5,8.3,2.8077751e-05,West
377,378,Nick Richards,Frontcourt,25,CHO,28,0,18.9,3.3,5.4,0.607,0.0,0.0,,3.3,5.4,0.607,0.607,2.3,3.1,0.744,2.9,3.5,6.3,0.6,0.1,0.8,0.9,2.3,8.8,2.8025372e-05,East
167,168,Blake Griffin,Frontcourt,33,BOS,13,8,16.7,2.2,4.2,0.509,0.6,1.8,0.348,1.5,2.5,0.625,0.582,1.2,1.6,0.714,1.2,3.4,4.5,1.4,0.2,0.1,0.5,2.2,6.1,2.7466062e-05,East
411,410,Dennis Smith Jr.,Guard,25,CHO,15,11,27.9,4.1,8.9,0.463,0.7,2.0,0.333,3.5,6.9,0.5,0.5,0.4,0.8,0.5,0.6,2.7,3.3,5.7,1.8,0.7,1.5,2.3,9.3,2.582011e-05,East
193,194,Haywood Highsmith,Frontcourt,26,MIA,18,1,18.4,1.3,4.1,0.315,0.6,2.1,0.289,0.7,1.9,0.343,0.39,0.2,0.6,0.4,0.9,3.0,3.9,0.7,0.8,0.3,0.7,1.1,3.4,2.274963e-05,East
58,59,Dillon Brooks,Guard,27,MEM,24,24,31.2,6.6,16.4,0.404,2.4,6.8,0.352,4.3,9.7,0.44,0.476,2.1,2.8,0.758,0.8,3.0,3.7,3.0,0.9,0.1,1.9,3.2,17.7,2.2661328e-05,West
486,485,Thaddeus Young,Frontcourt,34,TOR,25,9,17.4,2.2,4.2,0.533,0.2,0.7,0.222,2.1,3.5,0.598,0.552,0.5,0.6,0.857,1.7,2.0,3.8,1.9,1.0,0.1,0.8,1.8,5.1,2.1003118e-05,East
68,69,Alec Burks,Guard,31,DET,17,0,20.9,4.4,9.8,0.449,1.9,4.8,0.402,2.5,5.0,0.494,0.548,3.5,4.4,0.8,0.2,2.6,2.9,1.9,0.9,0.1,0.9,2.5,14.3,1.8638251e-05,East
87,88,Nic Claxton,Frontcourt,23,BRK,26,26,28.0,5.3,7.2,0.733,0.0,0.0,0.0,5.3,7.2,0.737,0.733,1.2,2.8,0.425,2.6,6.1,8.7,1.2,0.7,2.2,1.3,3.0,11.7,1.8509847e-05,East
215,216,Reggie Jackson,Guard,32,LAC,29,29,29.3,4.6,11.2,0.409,1.6,4.6,0.356,3.0,6.7,0.446,0.482,1.6,1.8,0.902,0.4,2.2,2.6,4.0,0.7,0.1,2.3,2.0,12.4,1.6587612e-05,West
